Season,Team,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NetRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,ELO
1985,Philadelphia 76ers,4.0,27.9,58.0,24.0,51.0,31.0,4.1,0.07,4.17,111.3,107.3,4.0,100.8,0.41200000000000003,0.032,0.561,0.4970000000000001,16.0,37.4,0.331,0.494,15.7,66.6,0.259,The Spectrum,575415.0,,1586.889
1985,Phoenix Suns,17.0,26.4,36.0,46.0,35.0,47.0,-2.11,-0.23,-2.34,104.7,106.8,-2.0999999999999943,102.5,0.319,0.043,0.544,0.4970000000000001,16.3,29.8,0.24600000000000002,0.498,15.0,68.3,0.24,Arizona Veterans Memorial Coliseum,478788.0,8741.0,1423.5475
1985,Portland Trail Blazers,5.0,25.2,42.0,40.0,49.0,33.0,3.4,-0.6,2.8,110.4,107.2,3.200000000000003,103.5,0.36200000000000004,0.027000000000000003,0.5539999999999999,0.506,14.8,34.0,0.271,0.4970000000000001,15.9,64.4,0.23199999999999998,Memorial Coliseum,519306.0,,1570.9862
1985,San Antonio Spurs,11.0,28.1,41.0,41.0,43.0,39.0,0.91,-0.29,0.63,109.9,109.0,0.9000000000000057,103.9,0.35700000000000004,0.027999999999999997,0.565,0.517,15.6,33.2,0.272,0.501,15.0,68.5,0.26899999999999996,HemisFair Arena,351950.0,,1515.2859
1985,Seattle SuperSonics,21.0,26.4,31.0,51.0,27.0,55.0,-5.44,0.0,-5.44,102.8,108.2,-5.400000000000006,99.3,0.33399999999999996,0.027000000000000003,0.529,0.47700000000000004,15.9,30.0,0.257,0.498,14.6,67.3,0.23800000000000002,King County Domed Stadium,303344.0,,1324.3304
1985,Utah Jazz,13.0,26.9,41.0,41.0,41.0,41.0,-0.11,-0.22,-0.33,103.3,103.4,-0.10000000000000853,105.1,0.33299999999999996,0.042,0.534,0.483,15.8,29.0,0.257,0.469,15.7,65.3,0.23800000000000002,Salt Palace,371829.0,12503.0,1539.4169
1985,Washington Bullets,12.0,27.1,40.0,42.0,40.0,42.0,-0.27,0.42,0.15,104.3,104.6,-0.2999999999999972,100.3,0.26899999999999996,0.054000000000000006,0.524,0.486,13.4,27.5,0.2,0.491,15.3,68.2,0.226,Capital Centre,383098.0,,1484.7855
1986,Atlanta Hawks,4.0,25.3,50.0,32.0,47.0,35.0,2.37,0.22,2.59,107.9,105.6,2.300000000000012,100.0,0.385,0.024,0.542,0.493,15.3,34.9,0.282,0.48100000000000004,15.4,66.7,0.26899999999999996,Omni Coliseum,377351.0,10407.0,1576.2588
1986,Boston Celtics,1.0,29.3,67.0,15.0,63.0,19.0,9.41,-0.36,9.06,111.8,102.6,9.200000000000003,101.2,0.307,0.054000000000000006,0.564,0.518,14.1,31.3,0.244,0.466,13.0,71.7,0.21600000000000005,Boston Garden,610571.0,14890.0,1770.1971
1986,Chicago Bulls,18.0,26.6,30.0,52.0,31.0,51.0,-3.8,0.69,-3.12,108.6,112.4,-3.8000000000000114,99.7,0.34600000000000003,0.044000000000000004,0.5379999999999999,0.48700000000000004,14.7,35.1,0.266,0.509,13.5,67.4,0.28,Chicago Stadium,469226.0,11624.0,1421.3157
1986,Cleveland Cavaliers,16.0,27.0,29.0,53.0,34.0,48.0,-2.87,0.68,-2.19,105.5,108.3,-2.799999999999997,101.6,0.321,0.054000000000000006,0.535,0.49,14.6,30.3,0.24100000000000002,0.48,13.6,68.5,0.292,Coliseum at Richfield,391842.0,10450.0,1422.6501
1986,Dallas Mavericks,9.0,25.8,44.0,38.0,44.0,38.0,1.1,-0.4,0.7,112.1,111.0,1.0999999999999943,102.2,0.364,0.061,0.562,0.51,13.3,30.0,0.28300000000000003,0.508,13.0,66.8,0.201,Reunion Arena,693052.0,16853.0,1561.3232
1986,Denver Nuggets,8.0,28.1,47.0,35.0,44.0,38.0,1.3,-0.42,0.89,107.1,105.9,1.1999999999999886,106.7,0.307,0.039,0.527,0.475,13.0,30.9,0.245,0.495,16.9,64.1,0.266,McNichols Sports Arena,531824.0,12957.0,1520.5966
1986,Detroit Pistons,7.0,26.5,46.0,36.0,44.0,38.0,1.17,0.27,1.44,109.0,107.9,1.0999999999999943,104.2,0.297,0.023,0.534,0.488,13.3,33.5,0.23199999999999998,0.496,14.9,67.6,0.266,Pontiac Silverdome,695233.0,16063.0,1554.7837
1986,Golden State Warriors,21.0,26.8,30.0,52.0,33.0,49.0,-3.45,-0.14,-3.59,108.3,111.6,-3.299999999999997,104.2,0.33299999999999996,0.037000000000000005,0.536,0.488,13.9,33.5,0.253,0.524,14.9,66.7,0.24100000000000002,Oakland-Alameda County Coliseum Arena,401205.0,10901.0,1428.5646
1986,Houston Rockets,6.0,26.0,51.0,31.0,48.0,34.0,2.61,-0.51,2.1,110.1,107.6,2.5,103.5,0.317,0.04,0.536,0.496,13.6,35.5,0.23199999999999998,0.4970000000000001,14.8,67.2,0.243,The Summit,604644.0,14752.0,1558.5789
1986,Indiana Pacers,17.0,25.0,26.0,56.0,32.0,50.0,-3.33,0.67,-2.66,102.6,105.9,-3.300000000000012,100.9,0.305,0.02,0.525,0.483,15.7,31.5,0.226,0.479,13.7,71.3,0.27699999999999997,Market Square Arena,460969.0,13168.0,1409.5127
1986,League Average,,26.8,,,41.0,41.0,0.0,0.0,0.0,107.2,107.2,0.0,102.1,0.341,0.038,0.541,0.493,14.9,32.4,0.258,0.493,14.9,67.6,0.258,,487508.0,13099.0,1502.7057782608695
1986,Los Angeles Clippers,23.0,27.0,32.0,50.0,24.0,58.0,-6.93,0.1,-6.83,105.4,112.1,-6.699999999999987,102.7,0.374,0.032,0.534,0.47700000000000004,15.3,32.0,0.28800000000000003,0.512,14.0,64.0,0.225,Los Angeles Memorial Sports Arena,337814.0,7663.0,1397.4302
1986,Los Angeles Lakers,3.0,28.1,62.0,20.0,59.0,23.0,7.74,-0.91,6.84,113.3,105.8,7.5,102.7,0.317,0.055999999999999994,0.575,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.239,The Forum,691071.0,16950.0,1652.3856
1986,Milwaukee Bucks,2.0,26.0,57.0,25.0,62.0,20.0,9.04,-0.35,8.69,111.4,102.7,8.700000000000003,102.1,0.369,0.052000000000000005,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281,MECCA Arena,443064.0,10752.0,1684.6497
1986,New Jersey Nets,14.0,27.5,39.0,43.0,36.0,46.0,-1.99,0.6,-1.39,105.0,106.9,-1.9000000000000057,103.3,0.32799999999999996,0.028999999999999998,0.536,0.489,15.9,33.3,0.248,0.499,15.5,70.6,0.282,Brendan Byrne Arena,482854.0,11682.0,1468.2839
1986,New York Knicks,22.0,25.5,23.0,59.0,26.0,56.0,-5.61,0.79,-4.82,99.5,105.2,-5.700000000000002,98.6,0.318,0.034,0.505,0.466,15.2,29.5,0.218,0.484,17.1,65.0,0.315,Madison Square Garden (IV),592484.0,14452.0,1315.6382
1986,Philadelphia 76ers,5.0,28.0,54.0,28.0,47.0,35.0,2.35,0.11,2.46,108.6,106.3,2.299999999999997,100.5,0.39799999999999996,0.032,0.546,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.21100000000000002,The Spectrum,513459.0,11669.0,1603.7227
1986,Phoenix Suns,19.0,26.3,32.0,50.0,33.0,49.0,-2.99,-0.17,-3.16,104.3,107.2,-2.9000000000000057,104.8,0.384,0.026000000000000002,0.552,0.506,17.7,31.3,0.27899999999999997,0.495,15.1,68.3,0.27899999999999997,Arizona Veterans Memorial Coliseum,455763.0,10826.0,1424.1364
1986,Portland Trail Blazers,10.0,26.6,40.0,42.0,44.0,38.0,1.06,-0.45,0.61,109.2,108.2,1.0,104.5,0.384,0.038,0.5539999999999999,0.501,15.2,32.8,0.294,0.507,16.4,66.3,0.275,Memorial Coliseum,519306.0,12666.0,1493.9027
1986,Sacramento Kings,20.0,26.6,37.0,45.0,33.0,49.0,-3.07,-0.12,-3.19,106.2,109.2,-3.0,102.0,0.324,0.019,0.541,0.4920000000000001,15.7,32.7,0.252,0.499,14.4,67.5,0.273,ARCO Arena (I),423653.0,10333.0,1470.4882
1986,San Antonio Spurs,15.0,27.8,35.0,47.0,36.0,46.0,-1.85,-0.2,-2.06,106.5,108.2,-1.7000000000000028,103.8,0.355,0.027999999999999997,0.555,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26,HemisFair Arena,336369.0,7125.0,1401.7573
1986,Seattle SuperSonics,11.0,26.6,31.0,51.0,41.0,41.0,-0.1,-0.37,-0.47,105.9,106.0,-0.09999999999999433,97.4,0.33,0.042,0.53,0.478,15.1,33.2,0.257,0.4920000000000001,15.7,68.7,0.282,Seattle Center Coliseum,329296.0,9374.0,1433.5153
1986,Utah Jazz,12.0,26.2,42.0,40.0,40.0,42.0,-0.37,-0.3,-0.67,104.2,104.6,-0.3999999999999915,103.3,0.38,0.024,0.536,0.49,15.5,29.8,0.272,0.47700000000000004,15.4,67.2,0.258,Salt Palace,477833.0,11218.0,1522.9799
1986,Washington Bullets,13.0,27.1,39.0,43.0,36.0,46.0,-1.8,0.53,-1.28,103.0,104.8,-1.7999999999999972,99.1,0.32,0.057,0.518,0.47100000000000003,14.2,29.1,0.23800000000000002,0.47200000000000003,14.2,66.1,0.22399999999999998,Capital Centre,373802.0,10065.0,1469.5614
1987,Atlanta Hawks,2.0,26.1,57.0,25.0,59.0,23.0,7.23,-0.05,7.18,112.6,105.2,7.3999999999999915,97.4,0.373,0.06,0.5429999999999999,0.49,13.3,37.2,0.28300000000000003,0.46,13.9,67.4,0.284,Omni Coliseum,549526.0,,1681.6678
