,result,season,team1,team2,d_ELO,d_NetRtg,d_SRS
25963,0,1985,DET,NYK,73.68810000000008,1.1780952380952383,5.028699694078815
25964,0,1985,CLE,GSW,-62.03669999999988,-1.8217948717948769,-3.1871532911532885
25965,1,1985,BOS,WSB,151.21630000000005,12.672121212121214,9.521754212454212
25966,0,1985,SEA,CHI,42.12079999999992,-3.4747252747252757,-4.574464180050718
25967,0,1985,PHO,PHI,-47.61720000000014,-5.061904761904762,-4.041661130536131
25968,1,1985,UTA,HOU,-5.010500000000093,-7.369230769230767,-5.740795787545788
25969,0,1985,KCK,BOS,-250.2527,-18.4974358974359,-15.671913971445221
25970,1,1985,DEN,PHI,-12.385100000000193,2.7,2.0482840735653247
25971,1,1985,DAL,HOU,-9.015499999999975,-9.747142857142855,-5.047121402407116
25972,1,1985,ATL,NJN,-26.62480000000005,3.1225274725274748,4.466551825044613
25973,1,1985,NYK,IND,127.3125,4.358333333333336,1.6823611634397349
25974,1,1985,MIL,GSW,187.9679000000001,15.638461538461536,13.341368600324747
25975,0,1985,LAC,LAL,-207.23289999999997,-11.884523809523813,-7.491850941116091
25976,1,1985,POR,CHI,112.33290000000011,6.873333333333335,3.6006329377905
25977,1,1985,WSB,DET,-20.544600000000173,1.1987499999999969,2.1282836830886196
25978,0,1985,SAS,UTA,-28.134000000000015,-2.335714285714287,-2.0128677817280756
25979,0,1985,LAL,SEA,185.4735999999998,11.391071428571426,9.153650793650794
25980,1,1985,LAC,PHO,-134.93950000000018,-6.090000000000004,-3.202333292932559
25981,1,1985,CLE,ATL,-174.29539999999997,-13.828571428571431,-14.147522516698986
25982,1,1985,IND,MIL,-205.21929999999998,-10.4375,-8.054929934281404
25983,1,1985,GSW,CHI,-19.917400000000043,-8.135714285714286,-8.465298773197642
25984,1,1985,DEN,LAC,178.25250000000005,12.753125000000004,8.725412315952022
25985,0,1985,DAL,BOS,-206.39330000000018,-15.490384615384611,-12.886466076815342
25986,0,1985,CLE,POR,-198.76440000000002,-16.653750000000006,-15.148478072895823
25987,1,1985,PHO,UTA,24.71289999999999,-1.8629166666666677,-0.4121913982259571
25988,1,1985,NYK,ATL,31.269200000000183,0.10823529411764898,-1.1074885923119246
25989,0,1985,WSB,PHI,-58.23569999999995,-2.9063025210084046,-1.2434841836574377
25990,1,1985,SEA,KCK,28.028600000000097,0.45047619047619225,-0.5418750448897511
25991,0,1985,SAS,HOU,-15.76150000000007,-6.206666666666664,-3.722032154528477
25992,1,1985,PHI,IND,172.04110000000014,6.4682352941176475,6.286765317585367
25993,1,1985,NJN,NYK,-3.3822999999993044,-2.6333333333333373,-1.4140640976979035
25994,1,1985,LAC,SEA,-57.98000000000002,-2.780147058823534,0.10265067371246772
25995,1,1985,ATL,MIL,-76.18790000000013,-2.98235294117647,-1.482124146277663
25996,0,1985,HOU,BOS,-207.78320000000008,-8.205357142857142,-9.817487471160302
25997,1,1985,DET,POR,-20.37850000000003,-7.716911764705884,-4.487494660338551
25998,0,1985,UTA,LAL,-97.44449999999983,-3.858088235294117,-3.840945371087031
25999,1,1985,GSW,KCK,-1.5101000000001932,-2.3999999999999977,-3.0538499649859947
26000,1,1985,PHO,CHI,105.71379999999999,1.1941176470588224,0.7729863287968693
26001,1,1985,SAS,DAL,-38.58860000000004,0.5393382352941156,-1.9834230843653242
26002,0,1985,DET,WSB,22.72530000000006,-1.0735294117647036,-1.5837835163348097
26003,1,1985,DAL,SEA,18.251899999999978,1.5310457516339873,2.799362149742508
26004,0,1985,ATL,HOU,33.87390000000005,-1.735294117647058,-0.1916387545149636
26005,1,1985,MIL,NYK,38.714300000000094,2.706725146198828,2.548876911095822
26006,1,1985,LAL,KCK,181.85460000000012,9.631250000000001,7.703412781184024
26007,0,1985,LAC,CHI,-11.658100000000104,-4.186111111111115,-2.130616539185334
26008,1,1985,NJN,IND,127.62480000000005,3.989583333333332,2.520220962922492
26009,1,1985,UTA,DEN,-104.21929999999998,-8.078823529411764,-8.207492481203008
26010,1,1985,PHI,POR,46.84830000000011,-1.2520833333333368,0.42170747215983084
26011,0,1985,IND,DET,-119.7002,-3.6616959064327506,-4.351435026957692
26012,0,1985,HOU,SEA,60.83400000000006,10.077777777777776,7.7628956727169705
26013,1,1985,DEN,UTA,72.1108999999999,5.674305555555557,5.254949575736728
26014,0,1985,CLE,BOS,-354.7339000000002,-22.995000000000005,-21.885597414287354
26015,0,1985,NYK,POR,-24.95309999999995,-5.104736842105264,-5.05297815919227
26016,1,1985,PHO,GSW,113.46939999999995,7.600694444444445,7.5112904406344585
26017,1,1985,WSB,MIL,-42.565599999999904,-3.7210526315789476,0.0305673197154106
26018,1,1985,SAS,LAC,36.494500000000016,3.529566563467495,0.15523280986371235
26019,0,1985,LAL,CHI,167.88940000000002,5.515789473684209,4.372905342058851
26020,1,1985,BOS,CLE,359.55150000000003,22.322794117647064,19.622785414516684
26021,1,1985,PHI,NJN,53.12160000000017,3.2647058823529433,4.923699592117549
26022,1,1985,SEA,PHO,-84.93079999999986,-5.415789473684211,-4.663626676986583
26023,1,1985,POR,PHO,41.38840000000005,5.875000000000001,4.859871174323838
26024,1,1985,CHI,NJN,-109.06490000000008,-2.597222222222218,-1.2503940052583955
26025,1,1985,NYK,DEN,-78.1561999999999,-7.454621848739494,-7.650696216030271
26026,0,1985,HOU,LAC,95.02379999999994,10.843289473684212,6.779428027341028
26027,0,1985,CLE,LAL,-248.50189999999998,-14.449444444444447,-12.021685887227628
26028,0,1985,GSW,UTA,-80.76029999999992,-8.13250773993808,-7.673977876847619
26029,1,1985,DET,BOS,-158.5543,-12.950464396284831,-9.507347577651919
26030,1,1985,SAS,ATL,-42.06189999999992,-1.8444444444444446,-2.6333299916457813
26031,1,1985,BOS,DEN,124.01209999999992,6.083333333333333,4.574683645387982
26032,1,1985,PHI,MIL,34.218799999999874,0.5688888888888899,2.518852826079648
26033,0,1985,DAL,LAC,54.97850000000017,2.932456140350882,2.167228438880426
26034,0,1985,NJN,LAL,-59.16260000000011,-3.3681704260651664,-2.899532573163946
26035,1,1985,KCK,ATL,-74.7974999999999,-6.745510835913313,-5.502717238776159
26036,1,1985,GSW,HOU,-48.56370000000015,-10.333333333333332,-7.775735629650164
26037,1,1985,POR,SAS,114.75680000000011,6.024310776942358,5.884694413432571
26038,0,1985,NYK,DAL,43.80609999999979,2.055454545454546,0.7727637793694386
26039,1,1985,MIL,DET,15.153099999999768,3.598809523809522,0.507298129385769
26040,0,1985,UTA,SEA,37.40100000000007,4.294999999999999,3.344640798480495
26041,1,1985,WSB,IND,144.6726000000001,6.420000000000001,7.588003265653211
26042,0,1985,SEA,SAS,24.060400000000072,-2.4952380952380944,-1.324546408898086
26043,1,1985,PHO,KCK,95.16280000000006,4.0269841269841296,3.430671211213145
26044,1,1985,PHI,LAL,2.5084999999999127,0.2557416267942578,1.6576871408318796
26045,1,1985,DET,DEN,-20.546999999999798,-5.23859649122807,-3.7011893836754814
26046,1,1985,CHI,NYK,-16.1404,1.8018633540372662,2.7712268836842373
26047,1,1985,ATL,LAC,46.402700000000095,5.27227272727273,2.928360186465252
